Signum,Plats,Socken,Härad,Kommun,KoordinaterX,KoordinaterY,Stilgruppering,Ristare,Materialtyp
U 325,Markims kyrka,Markims sn,Seminghundra hd,Vallentuna,6611743,1626735,Pr4,Torsten (A) [Källström 2007a:269],sten
U 333,Orkesta kyrka,Orkesta sn,Seminghundra hd,Vallentuna,6611659,1630126,Pr3,Visäte (A),sten
U 334,Orkesta kyrka,Orkesta sn,Seminghundra hd,Vallentuna,6611659,1630133,Pr4,Kättil 3 (S),sten
U 335,Orkesta kyrka,Orkesta sn,Seminghundra hd,Vallentuna,6611664,1630148,Pr1,,sten
U 336,Orkesta kyrka,Orkesta sn,Seminghundra hd,Vallentuna,6611651,1630123,RAK,Ulv i Borresta (A); Gunnar (A),sten
U 346 †,Frösunda kyrka,Frösunda sn,Seminghundra hd,Vallentuna,6613650,1633298,Pr3 - Pr4,Åsmund (S),sten
U 353,Lunda kyrka,Lunda sn,Seminghundra hd,Sigtuna,6618449,1626285,?,Sune (S),sten
U 354,Lunda kyrka,Lunda sn,Seminghundra hd,Sigtuna,6618451,1626323,Pr2,,sten
U 355 †,Lunda kyrka,Lunda sn,Seminghundra hd,Sigtuna,6618459,1626293,RAK?,Gunnar (A),sten
U 357 $,Skepptuna kyrka,Skepptuna sn,Seminghundra hd,Sigtuna,6623220,1628805,Pr4,Åsmund (A),sten
U 358,Skepptuna kyrka,Skepptuna sn,Seminghundra hd,Sigtuna,6623254,1628751,RAK,Gunnar (A),sten
U 359,Skepptuna kyrka,Skepptuna sn,Seminghundra hd,Sigtuna,6623235,1628770,Pr4,,sten
U 375 $,Vidbo kyrka,Vidbo sn,Seminghundra hd,Sigtuna,6623280,1623788,Pr2,Torfast (A); Åsmund (A),sten
U 376,Vidbo kyrka,Vidbo sn,Seminghundra hd,Sigtuna,6623326,1623814,Pr4,Sven 3 (S); Sten (S),sten
U 382,Sigtuna kyrka,Sigtuna,,Sigtuna,6612491,1608226,Pr4,Sven 1 (S),sten
U 383,Sigtuna kyrka,Sigtuna,,Sigtuna,6612491,1608226,Pr4,,sten
U 405 $,Ekerö kyrka,Ekerö sn,Färentuna hd,Ekerö,6574002,1610780,Pr1,Torbjörn 3 (S); Torbjörn skald (S) [Källström 1999:50ff],sten
U 413,Norrsunda kyrka,Norrsunda sn,Ärlinghundra hd,Sigtuna,6610050,1617907,,,sten
U 414 †,Norrsunda kyrka,Norrsunda sn,Ärlinghundra hd,Sigtuna,6610054,1617902,Pr1?,,sten
U 415 $,Norrsunda kyrka,Norrsunda sn,Ärlinghundra hd,Sigtuna,6610050,1617907,?,,sten
U 416 $,Norrsunda kyrka,Norrsunda sn,Ärlinghundra hd,Sigtuna,6610050,1617907,?,Öpir-liknande stil,sten
